p	SIGMA	TMASS	CRATIO	EXCESS	H
199873	-1.608724	1.3203125	0.994298665875	0.976910358015	0.327883205836
200033	-1.609878	1.142578125	0.860620745263	0.435192341163	0.327620942544
200257	-1.611493	1.421875	1.07129041459	1.2891343843	0.327254477996
200513	-1.613336	1.20703125	0.909705981745	0.633439490826	0.326836663957
200609	-1.614027	1.283203125	0.967228626996	0.866912271353	0.326680258613
200929	-1.616326	1.3984375	1.05450135267	1.22160141051	0.326159986861
201121	-1.617704	1.16015625	0.875029195504	0.491505076009	0.325848618493
201281	-1.618851	1.3125	0.990125451622	0.959797245747	0.325589598621
201473	-1.620227	1.140625	0.860667622787	0.432320754177	0.325279317824
201889	-1.623203	1.4140625	1.0675319495	1.27557280938	0.324609067359
201953	-1.623660	1.244140625	0.939324125346	0.752345031519	0.324506196986
202049	-1.624346	1.52734375	1.15327626967	1.62583775607	0.32435201362
202529	-1.627769	1.4140625	1.06835928757	1.27961645018	0.323583289307
202753	-1.629364	1.208984375	0.913664453812	0.646558464704	0.323225796906
202817	-1.629819	1.078125	0.814833048105	0.241780394064	0.323123801259
203233	-1.632775	1.123046875	0.849208929437	0.381585191835	0.322462395379
203393	-1.633911	1.53125	1.15810005373	1.64877594034	0.322208728914
203617	-1.635498	1.431640625	1.08305481342	1.3411058082	0.321854265607
203713	-1.636179	1.298828125	0.982693181855	0.928895610409	0.321702591391
203809	-1.636858	1.1875	0.898565356941	0.583111123827	0.321551060061
203873	-1.637311	1.203125	0.910458127171	0.631902084764	0.321450118456
203969	-1.637990	1.150390625	0.870651364694	0.468070884117	0.321298824821
204161	-1.639348	1.064453125	0.805795467686	0.200790637875	0.320996664397
204353	-1.640704	1	0.757177051221	0	0.320695071763
204481	-1.641607	1.16015625	0.878577233039	0.499716337167	0.320494324656
204641	-1.642736	1.11328125	0.843239178466	0.353734466793	0.320243743922
205441	-1.648365	1.228515625	0.931401594664	0.716357343643	0.318996694915
205537	-1.649039	1.65625	1.25583113066	2.05819266423	0.318847701387
205633	-1.649712	1.015625	0.770172054317	0.0490274757763	0.318698846975
206081	-1.652852	1.392578125	1.05657948198	1.23449900936	0.318006026756
206177	-1.653524	1.328125	1.00779070532	1.03230072671	0.317857956998
206209	-1.653748	1.7197265625	1.30498960318	2.26465392121	0.317808631049
206273	-1.654195	1.2890625	0.978259613634	0.909831220912	0.317710025064
206369	-1.654867	1.326171875	1.00653452569	1.02711167577	0.317562230761
206593	-1.656432	1.580078125	1.19955712047	1.82864240601	0.317217911546
207041	-1.659557	1.34375	1.02067439448	1.08598983368	0.316531508252
207073	-1.659780	1.2236328125	0.929471319194	0.706619628944	0.316482593095
207169	-1.660449	1.0703125	0.813099808996	0.222271615358	0.316335938292
207329	-1.661562	1.1640625	0.884484263452	0.519034318494	0.316091815424
207457	-1.662453	1.5703125	1.19334017229	1.80537606336	0.31589678825
207521	-1.662898	1.361328125	1.03460159758	1.14416989133	0.315799364884
208001	-1.666231	1.1015625	0.837645142001	0.322348387312	0.315070600622
208129	-1.667118	1.236328125	0.940261548206	0.750541486658	0.314876831196
208513	-1.669778	1.345703125	1.02389579819	1.09992516523	0.31429695031
208577	-1.670221	1.12890625	0.859006095706	0.410267473964	0.314200511082
208609	-1.670442	1.24609375	0.948211053657	0.783358069638	0.314152313659
208673	-1.670884	1.2275390625	0.934160413952	0.724517567545	0.314055963158
208961	-1.672874	1.359375	1.03482877483	1.14588173304	0.313623116275
208993	-1.673095	1.48828125	1.13300050735	1.55714295081	0.313575095817
209089	-1.673758	1.498046875	1.14055990389	1.58901538181	0.313431122632
209249	-1.674861	1.00390625	0.764478204358	0.0124724026284	0.313191460891
209441	-1.676184	1.1416015625	0.869523786991	0.452539449936	0.312904350151
209569	-1.677066	1.1796875	0.898663522477	0.574607914664	0.312713235259
209857	-1.679047	1.234375	0.940630934722	0.750518568322	0.312284079159
209953	-1.679707	1.1015625	0.839515156967	0.325373488403	0.312141288765
210113	-1.680806	1.171875	0.89326304517	0.5510516804	0.311903594732
210209	-1.681465	1.35546875	1.03331978382	1.1401957804	0.311761151996
210241	-1.681685	1.28125	0.976775648534	0.902270256352	0.311713699992
210401	-1.682782	1.15234375	0.87866127415	0.489101660849	0.31147665648
210913	-1.686288	1.1572265625	0.882893440996	0.506006347395	0.310720534059
211073	-1.687383	1.11328125	0.84951850012	0.364852571622	0.310484998081
211297	-1.688913	1.10546875	0.843768894018	0.340050819696	0.310155846983
211457	-1.690005	1.328125	1.01389689278	1.05873698215	0.309921166005
211681	-1.691532	1.22265625	0.933615295135	0.719189710174	0.309593208649
211777	-1.692186	1.2275390625	0.93744425066	0.735294728604	0.309452867875
211873	-1.692840	1.1953125	0.912931297268	0.63144038014	0.309312654279
211969	-1.693494	1.1171875	0.853353887466	0.379035892081	0.309172567687
212161	-1.694800	1.251953125	0.956497849998	0.815665323157	0.308892774827
212353	-1.696105	1.328125	1.01491006494	1.06322313458	0.308613487919
212801	-1.699145	1.60546875	1.22745658294	1.96603884136	0.307963778366
212897	-1.699796	1.22265625	0.934877627774	0.723321090352	0.307824910638
213217	-1.701963	1.08984375	0.833619901718	0.292305101759	0.307362921343
213281	-1.702396	1.359375	1.03985732302	1.16957136454	0.307270689841
213953	-1.706934	1.2275390625	0.939702831746	0.742849851821	0.30630559048
214177	-1.708444	1.150390625	0.880860359551	0.491496343795	0.30598523651
214433	-1.710167	1.3125	1.00526957545	1.02251182574	0.30561993723
214561	-1.711028	1.12890625	0.864772270601	0.42203790198	0.305437614478
214657	-1.711674	1.19921875	0.918729654018	0.652532222763	0.305301015108
214817	-1.712749	1.1884765625	0.91065863531	0.61780681661	0.305073620803
214849	-1.712964	1.263671875	0.968310027219	0.864418076934	0.305028182584
214913	-1.713393	1.32421875	1.01477573104	1.06323070449	0.30493734674
215297	-1.715969	1.4921875	1.14397038866	1.61694502461	0.304393465771
215329	-1.716183	1.23046875	0.943359082932	0.757253459506	0.304348229918
215393	-1.716612	1.1953125	0.916469505754	0.641930957694	0.304257798536
215521	-1.717469	1.296875	0.994477246083	0.976314898528	0.304077096895
215617	-1.718111	1.421875	1.09044368126	1.38801284619	0.303941711461
215681	-1.718540	1.1328125	0.868820169594	0.43709670882	0.30385152146
216289	-1.722601	1.33984375	1.02827816241	1.12160623856	0.302997378507
216481	-1.723881	1.43359375	1.10045461461	1.43228516966	0.302728645932
216577	-1.724521	1.28515625	0.986612711109	0.942371025502	0.302594458322
216641	-1.724947	1.3291015625	1.02041949564	1.08792083011	0.302505065985
217057	-1.727714	1.333984375	1.02462435768	1.10618213908	0.301925300727
217121	-1.728140	1.111328125	0.853661955975	0.368836100223	0.301836303259
217313	-1.729415	1.1015625	0.846333902175	0.336779607271	0.301569625379
217409	-1.730052	1.3359375	1.02650996642	1.11445541981	0.301436463072
217697	-1.731962	1.3515625	1.03883424741	1.16783553159	0.301037680813
217793	-1.732598	1.1796875	0.906820644933	0.597156934272	0.300904987764
218081	-1.734505	1.09765625	0.84402139744	0.324970972095	0.300507609558
218401	-1.736620	1.298828125	0.999046832132	0.99587031858	0.300067307384
218657	-1.738310	1.291015625	0.993305946387	0.970971290389	0.299715993542
218849	-1.739576	1.0234375	0.787590980637	0.078267695697	0.299453047535
219041	-1.740841	1.37890625	1.0613579638	1.26643784094	0.299190562497
219169	-1.741684	1.18359375	0.91114651917	0.613993417163	0.299015827968
219361	-1.742948	1.3828125	1.0647223296	1.28136313134	0.298754108524
219649	-1.744840	1.15234375	0.887536300577	0.510599715324	0.298362387263
219809	-1.745891	1.291015625	0.994507869504	0.97608687748	0.298145207885
219937	-1.746731	1.03515625	0.797518356113	0.117985201133	0.297971691894
220513	-1.750504	1.25390625	0.966630177125	0.854346973468	0.29719336275
220673	-1.751551	1	0.771023171959	0	0.296977881299
220897	-1.753014	1.107421875	0.854046230595	0.362083923428	0.296676731689
221281	-1.755520	1.53125	1.18137248706	1.79378242542	0.296161893701
221537	-1.757188	1.4453125	1.1153654669	1.50535126745	0.295819659921
221729	-1.758438	1.294921875	0.999504749714	0.99782913591	0.295563503195
221953	-1.759895	1.1875	0.916800657767	0.63502231632	0.295265213807
222113	-1.760934	1.28125	0.989342116928	0.953220130465	0.295052518313
222337	-1.762389	1.40234375	1.08309562008	1.36500957265	0.294755258909
222913	-1.766121	1.396484375	1.07920499183	1.34861557159	0.29399362083
222977	-1.766535	1.26953125	0.981159430219	0.917056069753	0.293909237276
223009	-1.766742	1.12109375	0.866467492285	0.412069826715	0.293867063661
223361	-1.769018	1.2734375	0.984562864967	0.93194893473	0.293403951451
223681	-1.771083	1.1953125	0.924460248785	0.66663149939	0.292984205185
223841	-1.772115	1.1875	0.918566804089	0.640424010071	0.2927747821
223969	-1.772940	1.28125	0.991213528138	0.961185339895	0.292607459068
224033	-1.773352	1.1328125	0.876434491423	0.454022778859	0.292523869251
224129	-1.773970	1.234375	0.955103963126	0.801559996567	0.292398574035
224449	-1.776028	1.10546875	0.855638088545	0.361216990444	0.291981697401
224513	-1.776439	1.72265625	1.33343006211	2.47571103466	0.291898464677
224737	-1.777878	1.171875	0.907299608212	0.589405231937	0.291607523461
224897	-1.778905	1.61328125	1.24924978405	2.10460232366	0.29140006314
224929	-1.779110	1.501953125	1.16307981179	1.72280177696	0.291358606494
224993	-1.779521	1.1484375	0.88938208516	0.509611634051	0.291275728578
225089	-1.780136	1.2421875	0.962077261986	0.83182638571	0.291151500073
225217	-1.780956	1.421875	1.10138682408	1.44981188487	0.29098602681
225569	-1.783209	1.255859375	0.973133118608	0.880658325465	0.290531943662
225601	-1.783414	1.236328125	0.958029447846	0.813547895447	0.29049073364
225697	-1.784028	1.3671875	1.05953369543	1.26456270981	0.290367173689
225889	-1.785254	1.244140625	0.964360113239	0.841514940728	0.290120368854
226241	-1.787501	1.10546875	0.857172472954	0.364100945583	0.289668981308
226337	-1.788113	1.328125	1.02991663512	1.13323915656	0.289546119282
226433	-1.788725	1	0.775540470189	0	0.289423361436
226657	-1.790151	1.60546875	1.24538225026	2.09405249819	0.289137330857
226753	-1.790762	1.3515625	1.04852355062	1.21641644255	0.289014919317
226817	-1.791169	1.3203125	1.02434503719	1.10860334649	0.288933369192
226913	-1.791780	1.5	1.16386331929	1.73123521782	0.288811130257
227233	-1.793813	1.189453125	0.923198580286	0.656900922456	0.288404413091
227393	-1.794828	1.25390625	0.973377430311	0.881002577344	0.288201483775
227489	-1.795437	1.05078125	0.815773369353	0.176274903201	0.288079863202
227873	-1.797870	1.02734375	0.797878388946	0.0950774752995	0.287594405656
228097	-1.799288	1.3984375	1.08632369237	1.38677650778	0.287311976922
228257	-1.800300	1.080078125	0.839149441027	0.278910392586	0.287110581494
228353	-1.800906	1.337890625	1.03955022965	1.17736076739	0.286989879704
228577	-1.802321	1.2861328125	0.999552483009	0.99799160575	0.286708636477
228737	-1.803330	1.3046875	1.01413082008	1.06345166228	0.286508085705
228929	-1.804541	1.65234375	1.28460321922	2.27878846942	0.286267794818
228961	-1.804742	1.099609375	0.854910294569	0.348007356518	0.286227785518
229153	-1.805952	1.1484375	0.893039073317	0.519034080072	0.285987964373
229217	-1.806355	1.130859375	0.879424714198	0.457697312266	0.285908113273
229249	-1.806556	1.39453125	1.08450558555	1.38011588512	0.285868204441
229409	-1.807562	1.3125	1.02086942776	1.09392404822	0.285668827291
229601	-1.808769	1.248046875	0.970917849896	0.869028924191	0.285429941507
230017	-1.811381	1.2236328125	0.952307372756	0.78491414714	0.284913723768
230081	-1.811782	1.3515625	1.05193511705	1.23426949817	0.284834471338
230273	-1.812986	1.25390625	0.976108671524	0.892160737106	0.284596978369
230369	-1.813587	1.28515625	1.00052773925	1.00238285124	0.284478380338
230561	-1.814789	1.3125	1.02200405443	1.0994172961	0.284241480563
230849	-1.816590	1.291015625	1.00555247927	1.02511125377	0.283886869772
230977	-1.817390	1.37890625	1.07414077308	1.33544867485	0.28372954883
231041	-1.817789	1.28515625	1.0011726679	1.00530686131	0.283650953727
231169	-1.818588	1.423828125	1.10933766929	1.49501676704	0.283493894077
231809	-1.822577	1.59765625	1.24553075783	2.11401690175	0.282711197581
231841	-1.822776	1.453125	1.13288884485	1.60300531205	0.28267217619
232129	-1.824567	1.4228515625	1.10959037825	1.49776623715	0.282321467805
232417	-1.826356	1.3046875	1.01771948061	1.08056084058	0.281971628581
