family	N	kappa	p	SIGMA	TNUM	NKER	TMASSf	CRATIO	EXCESS	ZFRATIO	ZFLOOR_OK	tag
M4	16	1	139457	-1.0894608262417407	102656	353	1.56640625	1.0656333730401675	1.2052997086480506	3.333226263523102	True	LAD16-exhaustive
M4	16	1	139681	-1.0917762670525732	88832	321	1.35546875	0.9226046237561886	0.7576444719424735	2.8889958262443542	True	LAD16-exhaustive
M4	16	1	139969	-1.0947478123318106	124032	449	1.892578125	1.289037038588665	1.9063594656004426	4.042087823152542	True	LAD16-exhaustive
M4	16	1	140321	-1.0983714087595473	165952	385	2.5322265625	1.7260831040949134	3.2807440829566263	5.421822562813759	True	LAD16-exhaustive
M4	16	1	140417	-1.0993580848014375	80640	289	1.23046875	0.8389271794823551	0.493808353837644	2.636394202709198	True	LAD16-exhaustive
M4	16	1	140449	-1.099686826916951	77120	353	1.1767578125	0.8023655138642443	0.3788122073367285	2.521888092160225	True	LAD16-exhaustive
M4	16	1	140897	-1.1042813683327672	93440	289	1.42578125	0.9731451556989711	0.9154085722323949	3.0653122067451477	True	LAD16-exhaustive
M4	16	1	140929	-1.1046089906352314	96512	385	1.47265625	1.005211429867919	1.0164182903219654	3.1668086647987366	True	LAD16-exhaustive
M4	16	1	141121	-1.1065731635878073	88448	321	1.349609375	0.9216196220258546	0.7528377906366827	2.9061618745326996	True	LAD16-exhaustive
M4	16	1	141601	-1.1114719283460452	91392	353	1.39453125	0.9533206180058029	0.8524608153086137	3.0131075978279114	True	LAD16-exhaustive
M4	16	1	141697	-1.112449688367132	97664	321	1.490234375	1.018962999123567	1.059963992284657	3.2220724523067474	True	LAD16-exhaustive
M4	16	1	141761	-1.1131011604313237	91264	225	1.392578125	0.9523255035221374	0.8491991695754177	3.0122874081134796	True	LAD16-exhaustive
M4	16	1	141793	-1.113426786178124	92160	257	1.40625	0.9617437405946133	0.8789716372930495	3.0425477027893066	True	LAD16-exhaustive
M4	16	1	142049	-1.116029149680429	105728	321	1.61328125	1.1039626767055746	1.3293047727359426	3.496780216693878	True	LAD16-exhaustive
M4	16	1	142369	-1.1192755167028032	90944	385	1.3876953125	0.9502693259644476	0.8422338284170672	3.0145995169878006	True	LAD16-exhaustive
M4	16	1	142433	-1.1199239144259288	117888	321	1.798828125	1.2319803350906149	1.7361636732757306	3.9094922840595245	True	LAD16-exhaustive
M4	16	1	142529	-1.1208959649390842	74880	289	1.142578125	0.7826943516327909	0.3100864816987106	2.4849016964435577	True	LAD16-exhaustive
M4	16	1	142657	-1.1221910143288447	102912	353	1.5703125	1.0760071007171266	1.2414598353933013	3.418213963508606	True	LAD16-exhaustive
M4	16	1	143137	-1.1270371221600968	92416	193	1.41015625	0.9672861483871817	0.8958348234721905	3.0799184441566467	True	LAD16-exhaustive
M4	16	1	143329	-1.128971016509361	93056	321	1.419921875	0.974394737350022	0.9183944826714733	3.1054074466228485	True	LAD16-exhaustive
M4	16	1	143489	-1.130580617235161	166144	385	2.53515625	1.740312285461239	3.361227361810483	5.5506444573402405	True	LAD16-exhaustive
M4	16	1	143617	-1.1318670060773925	119552	385	1.82421875	1.25262404480354	1.806238257705806	3.9976322054862976	True	LAD16-exhaustive
M4	16	1	143873	-1.134436347815086	90112	321	1.375	0.9446887177185208	0.8232604715037766	3.018575668334961	True	LAD16-exhaustive
M4	16	1	144161	-1.137321398262202	87552	289	1.3359375	0.9184251771016138	0.7389804827573052	2.93869149684906	True	LAD16-exhaustive
M4	16	1	144289	-1.1386017933209978	78848	353	1.203125	0.8273491265298536	0.44722214274814986	2.648890733718872	True	LAD16-exhaustive
M4	16	1	144481	-1.1405202577644573	105600	353	1.611328125	1.1085169645556767	1.347757668850614	3.5523422062397003	True	LAD16-exhaustive
M4	16	1	144577	-1.141478534158935	114688	353	1.75	1.2041661114072495	1.6545777065690088	3.8606224060058594	True	LAD16-exhaustive
M4	16	1	144737	-1.1430742483661618	84864	289	1.294921875	0.8913364947395517	0.6513482478351262	2.859849661588669	True	LAD16-exhaustive
M4	16	1	144961	-1.145305287265721	78848	289	1.203125	0.8285487758674749	0.4493049992370489	2.6612274646759033	True	LAD16-exhaustive
M4	16	1	145121	-1.1468967767752432	91904	225	1.40234375	0.9660751525888178	0.890951817254139	3.105308949947357	True	LAD16-exhaustive
M4	16	1	145441	-1.1500744985677258	81408	353	1.2421875	0.8563295928802328	0.5374836680781262	2.756729006767273	True	LAD16-exhaustive
M4	16	1	145601	-1.1516607385591797	88320	225	1.34765625	0.9293540545252823	0.7723979195277333	2.9940810799598694	True	LAD16-exhaustive
M4	16	1	145633	-1.1519777773767252	104576	353	1.595703125	1.1004841320802632	1.3237816922732129	3.545944720506668	True	LAD16-exhaustive
M4	16	1	146273	-1.158303966668118	111872	257	1.70703125	1.1788628476320535	1.5780816667620357	3.8100064396858215	True	LAD16-exhaustive
M4	16	1	146369	-1.159250507006778	95232	257	1.453125	1.0037208034062595	1.0120310234988936	3.245429277420044	True	LAD16-exhaustive
M4	16	1	146849	-1.1639739157893736	101248	289	1.544921875	1.068207738915714	1.2210457377260242	3.461765021085739	True	LAD16-exhaustive
M4	16	1	146977	-1.165230884042117	90880	225	1.38671875	0.9590788365774638	0.8673039096475166	3.1099817156791687	True	LAD16-exhaustive
M4	16	1	147073	-1.1661728920601142	92928	321	1.41796875	0.9808893266892591	0.9380013423170824	3.182142913341522	True	LAD16-exhaustive
M4	16	1	147137	-1.166800555865379	96512	257	1.47265625	1.0188563734588945	1.061192075322347	3.306308329105377	True	LAD16-exhaustive
M4	16	1	147457	-1.169934785311053	81664	289	1.24609375	0.8626861388866718	0.5537231417372397	2.8037299513816833	True	LAD16-exhaustive
M4	16	1	147617	-1.1714993503297606	99584	225	1.51953125	1.05234126131235	1.1702394831960021	3.422678291797638	True	LAD16-exhaustive
M4	16	1	147937	-1.1746233993595965	85760	289	1.30859375	0.906861010313999	0.6966114838445105	2.9539403319358826	True	LAD16-exhaustive
M4	16	1	148193	-1.1771177769807224	80512	257	1.228515625	0.8518182737667737	0.5167378655012589	2.777975708246231	True	LAD16-exhaustive
M4	16	1	148513	-1.1802296964706116	85504	193	1.3046875	0.9052317923433062	0.6904715753032731	2.9565895795822144	True	LAD16-exhaustive
M4	16	1	148609	-1.1811619648906166	80128	289	1.22265625	0.8484838363729547	0.5049015435454337	2.772487223148346	True	LAD16-exhaustive
M4	16	1	148961	-1.1845751375307323	92416	193	1.41015625	0.9793109669003152	0.932284812027924	3.2052350640296936	True	LAD16-exhaustive
M4	16	1	149057	-1.1855046030577512	90240	385	1.376953125	0.9564406033455348	0.8573663226234073	3.1317825615406036	True	LAD16-exhaustive
M4	16	1	149153	-1.186433470156171	77440	321	1.181640625	0.8209366342814922	0.4134011465724422	2.689289003610611	True	LAD16-exhaustive
M4	16	1	149249	-1.1873617395960778	92224	449	1.4072265625	0.9778528997810009	0.9274152319609751	3.2047600895166397	True	LAD16-exhaustive
M4	16	1	149377	-1.1885985038198434	90112	193	1.375	0.9557091972528291	0.854755092698558	3.134054183959961	True	LAD16-exhaustive
M4	16	1	149441	-1.1892164885732939	79616	225	1.21484375	0.8445010831150919	0.4899132500762951	2.7701944708824158	True	LAD16-exhaustive
M4	16	1	149729	-1.1919941487673356	79040	353	1.2060546875	0.838883242458969	0.4707768719720378	2.7554529160261154	True	LAD16-exhaustive
M4	16	1	149921	-1.1938429556137145	110080	417	1.6796875	1.1687789139661926	1.55488562886244	3.8424748182296753	True	LAD16-exhaustive
M4	16	1	149953	-1.1941508598767285	100864	353	1.5390625	1.0709971741465882	1.2334483720531013	3.5215307474136353	True	LAD16-exhaustive
M4	16	1	150209	-1.1966117311396935	94720	289	1.4453125	1.0062803383292236	1.0206751401922636	3.3126670122146606	True	LAD16-exhaustive
M4	16	1	150401	-1.1984546338077138	93568	257	1.427734375	0.994427412448017	0.9816384792000458	3.2765606343746185	True	LAD16-exhaustive
M4	16	1	150497	-1.1993752030944798	92544	353	1.412109375	0.983734930979554	0.94638322437438	3.2427707612514496	True	LAD16-exhaustive
M4	16	1	150721	-1.2015209164896277	92288	289	1.408203125	0.981456159381127	0.9388080140859846	3.23861363530159	True	LAD16-exhaustive
M4	16	1	150881	-1.2030516174014032	101120	289	1.54296875	1.0757276170373262	1.2500750433928436	3.5523173213005066	True	LAD16-exhaustive
M4	16	1	151009	-1.2042750098708446	92736	225	1.4150390625	0.986790831374051	0.9563536093547341	3.2605534940958023	True	LAD16-exhaustive
M4	16	1	151169	-1.2058027930192807	93440	257	1.42578125	0.994600587812177	0.9821458118753338	3.2887867093086243	True	LAD16-exhaustive
M4	16	1	151201	-1.2061081555981126	80896	257	1.234375	0.8611339803955043	0.5407451647974365	2.8478810787200928	True	LAD16-exhaustive
M4	16	1	151553	-1.2094628850696765	98560	353	1.50390625	1.049903743671921	1.165308673323415	3.4778061509132385	True	LAD16-exhaustive
M4	16	1	151681	-1.2106808551930932	82432	289	1.2578125	0.878325067271748	0.5967079852368963	2.91116726398468	True	LAD16-exhaustive
M4	16	1	151841	-1.2122018732934166	75840	321	1.1572265625	0.8083433243622226	0.36428532046330203	2.681189551949501	True	LAD16-exhaustive
M4	16	1	151937	-1.2131137150234714	99840	289	1.5234375	1.0643509207507174	1.2135427395666438	3.531898856163025	True	LAD16-exhaustive
M4	16	1	151969	-1.2134175342404596	86272	129	1.31640625	0.9197667233993397	0.7337139147974365	3.052565634250641	True	LAD16-exhaustive
M4	16	1	152417	-1.2176642988421094	121856	417	1.859375	1.3002879504432168	1.9986779488059816	4.324346303939819	True	LAD16-exhaustive
M4	16	1	152641	-1.2197830024803693	97792	289	1.4921875	1.0439690533674648	1.1463796778439002	3.475479006767273	True	LAD16-exhaustive
M4	16	1	152833	-1.2215965609784831	78080	225	1.19140625	0.8338501584767457	0.44637508821622035	2.778414785861969	True	LAD16-exhaustive
M4	16	1	152897	-1.2222005742187	77824	193	1.1875	0.8312206430376502	0.43744850080109865	2.7704648971557617	True	LAD16-exhaustive
M4	16	1	152993	-1.2231061201892928	88192	353	1.345703125	0.9421362855246238	0.8070520821412223	3.141527682542801	True	LAD16-exhaustive
M4	16	1	153089	-1.2240110981263612	83968	193	1.28125	0.8971809190665252	0.6569967383840696	2.9929394721984863	True	LAD16-exhaustive
M4	16	1	153281	-1.2258193527473331	83840	289	1.279296875	0.8961497527460286	0.6532525260833906	2.992125004529953	True	LAD16-exhaustive
M4	16	1	153313	-1.2261205082916433	89600	289	1.3671875	0.9577771658297083	0.8590007963302052	3.198358416557312	True	LAD16-exhaustive
M4	16	1	153409	-1.2270235979196968	115456	353	1.76171875	1.234395606724779	1.783085553044175	4.123893916606903	True	LAD16-exhaustive
M4	16	1	153889	-1.2315305858130188	81920	225	1.25	0.8766645854601137	0.5870489051651789	2.935199737548828	True	LAD16-exhaustive
M4	16	1	153953	-1.232130455122256	110976	289	1.693359375	1.1877540269143416	1.6288205670157168	3.9779320657253265	True	LAD16-exhaustive
M4	16	1	154081	-1.2333294459860085	109184	321	1.666015625	1.1688645340759554	1.5658862213416496	3.9169518053531647	True	LAD16-exhaustive
M4	16	1	154369	-1.2360235376865703	113792	321	1.736328125	1.21887385553753	1.7344355890459298	4.089893132448196	True	LAD16-exhaustive
M4	16	1	154753	-1.2396078518451468	109376	353	1.6689453125	1.1724392338452958	1.5796336910858702	3.9409529715776443	True	LAD16-exhaustive
M4	16	1	154849	-1.2405025406931784	97536	289	1.48828125	1.0457150395729726	1.1537325594148164	3.5165231823921204	True	LAD16-exhaustive
M4	16	1	155009	-1.2419924568938754	102528	385	1.564453125	1.0995733933053042	1.3350929190985732	3.7003221809864044	True	LAD16-exhaustive
M4	16	1	155137	-1.2431832829933143	160256	385	2.4453125	1.7191054837609665	3.421399943732357	5.788550496101379	True	LAD16-exhaustive
M4	16	1	155201	-1.243778327647373	121344	225	1.8515625	1.3018463302882175	2.0166834754329748	4.38483202457428	True	LAD16-exhaustive
M4	16	1	155521	-1.2467498750518011	111872	289	1.70703125	1.2009590648127624	1.6778546888113222	4.050891220569611	True	LAD16-exhaustive
M4	16	1	155777	-1.2491227140274752	98944	353	1.509765625	1.062693210334844	1.2117152630750745	3.588665157556534	True	LAD16-exhaustive
M4	16	1	155809	-1.2494190446807814	68736	161	1.048828125	0.7382936123325006	0.11608852259288929	2.493543416261673	True	LAD16-exhaustive
M4	16	1	156257	-1.2535612955016369	81408	321	1.2421875	0.8751464984647778	0.5774546759365224	2.9617384672164917	True	LAD16-exhaustive
