p	SIGMA	UMIN	H	PREDCR_est	PREDCR_exact	BONUS	AU
9829057921	-1.194406	6	0.436966	1.695911			
9814435457	-1.192258	6	0.437617	1.695595			
2286007873	0.909817	5	1.878807	1.694732			
3702166529	0.214277	6	1.160123	1.694405			
9735141569	-1.180555	6	0.441182	1.693875			
9682054721	-1.172666	6	0.443601	1.692712			
9606668801	-1.161389	6	0.447082	1.691046			
9587171329	-1.158458	6	0.447991	1.690612			
9544914433	-1.152085	6	0.449974	1.689667			
9500336897	-1.145332	6	0.452086	1.688665			
9458776577	-1.139006	6	0.454072	1.687724			
9434540033	-1.135305	6	0.455239	1.687173			
9426072769	-1.134010	6	0.455648	1.686979			
9425332993	-1.133896	6	0.455683	1.686963			
9390525121	-1.128559	6	0.457372	1.686166			
9370186561	-1.125431	6	0.458365	1.685699			
9340198849	-1.120806	6	0.459837	1.685008			
9333542081	-1.119778	6	0.460165	1.684854			
9328099009	-1.118936	6	0.460433	1.684728			
9321352961	-1.117892	6	0.460767	1.684572			
9317910977	-1.117359	6	0.460937	1.684492			
9287167489	-1.112592	6	0.462463	1.683778			
9274920449	-1.110688	6	0.463073	1.683493			
9261476417	-1.108595	7	0.463745	1.683179			
9248772289	-1.106615	6	0.464382	1.682882			
9225739073	-1.103017	6	0.465542	1.682342			
9214785089	-1.101303	6	0.466095	1.682084			
9199041281	-1.098836	6	0.466893	1.681713			
9154379777	-1.091815	6	0.469171	1.680656			
9121971137	-1.086698	6	0.470838	1.679885			
9116962369	-1.085906	6	0.471096	1.679765			
9115974913	-1.085750	6	0.471147	1.679742			
9102801217	-1.083663	6	0.471829	1.679427			
9090280321	-1.081678	6	0.472479	1.679127			
9087136193	-1.081179	6	0.472643	1.679051			
9050931073	-1.075419	6	0.474533	1.678181			
9045019969	-1.074477	6	0.474843	1.678038			
9037406849	-1.073262	6	0.475243	1.677854			
9027320321	-1.071651	6	0.475774	1.677610			
9020273281	-1.070524	6	0.476146	1.677440			
9015838849	-1.069815	6	0.476380	1.677332			
9001595137	-1.067534	6	0.477134	1.676987			
8988856577	-1.065490	6	0.477810	1.676677			
8982461249	-1.064464	6	0.478150	1.676521			
8968035521	-1.062145	6	0.478920	1.676169			
8930448833	-1.056086	6	0.480935	1.675249			
8926601729	-1.055464	6	0.481142	1.675154			
8915730497	-1.053706	6	0.481729	1.674887			
8897745473	-1.050793	6	0.482703	1.674444			
8892516929	-1.049945	6	0.482987	1.674315			
8889557953	-1.049465	6	0.483147	1.674242			
8888532673	-1.049298	6	0.483203	1.674216			
8868976577	-1.046120	6	0.484269	1.673732			
8866458049	-1.045711	6	0.484406	1.673670			
8855692609	-1.043958	6	0.484995	1.673403			
8840053697	-1.041408	6	0.485853	1.673014			
8819457793	-1.038043	6	0.486988	1.672501			
8815288193	-1.037361	6	0.487218	1.672396			
2174096129	0.982231	5	1.975519	1.672152			
8798488513	-1.034609	6	0.488148	1.671976			
8797332673	-1.034419	6	0.488212	1.671947			
8766641537	-1.029377	6	0.489922	1.671176			
8756006593	-1.027626	6	0.490517	1.670908			
8735155393	-1.024186	6	0.491688	1.670382			
8734166977	-1.024023	6	0.491743	1.670357			
8731855681	-1.023641	6	0.491873	1.670298			
8679847361	-1.015023	6	0.494821	1.668977			
2155022657	0.994944	5	1.993003	1.668225			
8637302593	-1.007934	6	0.497258	1.667888			
8634707777	-1.007500	6	0.497407	1.667821			
8623601473	-1.005643	6	0.498048	1.667535			
8618112193	-1.004725	6	0.498365	1.667394			
8614144577	-1.004060	6	0.498595	1.667292			
8613902849	-1.004020	7	0.498609	1.667286			
8613495809	-1.003952	6	0.498632	1.667275			
8609935361	-1.003355	6	0.498839	1.667183			
8593074241	-1.000527	6	0.499817	1.666748			
8583685057	-0.998950	6	0.500364	1.666505			
3433927169	0.322788	6	1.250745	1.666446			
8575080257	-0.997503	6	0.500866	1.666282			
8571457217	-0.996893	6	0.501078	1.666188			
8558285761	-0.994675	6	0.501849	1.665846			
8529346817	-0.989788	6	0.503552	1.665092			
8507346817	-0.986062	6	0.504854	1.664516			
2135255873	1.008238	5	2.011453	1.664131			
8466603713	-0.979136	6	0.507283	1.663445			
8465230913	-0.978902	6	0.507366	1.663409			
3405565249	0.334753	6	1.261161	1.663376			
8456143937	-0.977353	6	0.507911	1.663169			
8453183041	-0.976848	7	0.508089	1.663091			
8450084801	-0.976319	6	0.508275	1.663009			
8441422273	-0.974839	6	0.508797	1.662780			
8405490241	-0.968685	6	0.510972	1.661826			
2121973697	1.017240	5	2.024044	1.661366			
8379574913	-0.964230	6	0.512552	1.661134			
8374674817	-0.963386	7	0.512852	1.661003			
8369957441	-0.962573	6	0.513141	1.660877			
8355295297	-0.960044	6	0.514041	1.660484			
8355107713	-0.960011	6	0.514053	1.660479			
8332972801	-0.956184	6	0.515418	1.659884			
8331696577	-0.955963	6	0.515497	1.659849			
8307469633	-0.951762	6	0.517001	1.659195			
2109020929	1.026074	5	2.036474	1.658659			
8284635329	-0.947791	6	0.518426	1.658577			
8273847809	-0.945911	6	0.519102	1.658284			
8271074881	-0.945428	6	0.519276	1.658208			
8262808321	-0.943985	6	0.519795	1.657983			
3353680513	0.356902	6	1.280673	1.657701			
8239666817	-0.939939	6	0.521255	1.657352			
8217860033	-0.936116	6	0.522638	1.656755			
8188074689	-0.930877	6	0.524539	1.655936			
8185876289	-0.930490	6	0.524680	1.655875			
8116936769	-0.918288	6	0.529136	1.653964			
